run_id,campaign_id,system_id,model,replicate,run_index,run_status,failure_stage,failure_category,failure_reason,started_at,finished_at,schema_valid,referential_valid,strict_deterministic,guard_aware_deterministic,requirement_coverage,behavioral_pass_rate,final_state_agreement,trace_agreement,rejected_event_agreement,missing_transitions,extra_transitions,tier
C1_pilot_ollama_behavioral__atm__qwen2.5-coder_7b__r03,C1_pilot_ollama_behavioral,atm,qwen2.5-coder:7b,3,43,failed,parsing,parse_error,fsm parse error: 'target',2026-06-03T05:53:57+00:00,2026-06-03T05:54:04+00:00,False,,,,,,,,,,,pilot
C1_pilot_ollama_behavioral__atm__qwen2.5-coder_7b__r04,C1_pilot_ollama_behavioral,atm,qwen2.5-coder:7b,4,44,failed,parsing,parse_error,fsm parse error: 'target',2026-06-03T05:54:04+00:00,2026-06-03T05:54:11+00:00,False,,,,,,,,,,,pilot
C1_pilot_ollama_behavioral__atm__qwen2.5-coder_7b__r05,C1_pilot_ollama_behavioral,atm,qwen2.5-coder:7b,5,45,failed,parsing,parse_error,fsm parse error: 'target',2026-06-03T05:54:11+00:00,2026-06-03T05:54:17+00:00,False,,,,,,,,,,,pilot
C1_pilot_ollama_behavioral__atm__llama3.1_8b__r01,C1_pilot_ollama_behavioral,atm,llama3.1:8b,1,46,failed,schema_validation,schema_error,"forbidden_behaviours.0: Additional properties are not allowed ('event', 'source' were unexpected)",2026-06-03T05:54:17+00:00,2026-06-03T05:54:25+00:00,False,,,,,,,,,,,pilot
C1_pilot_ollama_behavioral__atm__llama3.1_8b__r02,C1_pilot_ollama_behavioral,atm,llama3.1:8b,2,47,passed,none,none,,2026-06-03T05:54:25+00:00,2026-06-03T05:54:31+00:00,True,True,True,True,0.75,0.3125,0.15384615384615385,0.0,1.0,3,3,pilot
C1_pilot_ollama_behavioral__atm__llama3.1_8b__r03,C1_pilot_ollama_behavioral,atm,llama3.1:8b,3,48,passed,none,none,,2026-06-03T05:54:31+00:00,2026-06-03T05:54:37+00:00,True,True,True,True,0.75,0.3125,0.15384615384615385,0.0,1.0,3,3,pilot
C1_pilot_ollama_behavioral__atm__llama3.1_8b__r04,C1_pilot_ollama_behavioral,atm,llama3.1:8b,4,49,passed,none,none,,2026-06-03T05:54:37+00:00,2026-06-03T05:54:43+00:00,True,True,True,True,0.75,0.3125,0.15384615384615385,0.0,1.0,3,3,pilot
C1_pilot_ollama_behavioral__atm__llama3.1_8b__r05,C1_pilot_ollama_behavioral,atm,llama3.1:8b,5,50,passed,none,none,,2026-06-03T05:54:43+00:00,2026-06-03T05:54:49+00:00,True,True,True,True,0.75,0.3125,0.15384615384615385,0.0,1.0,3,3,pilot
C1_pilot_ollama_behavioral__atm__mistral-nemo_12b__r01,C1_pilot_ollama_behavioral,atm,mistral-nemo:12b,1,51,passed,none,none,,2026-06-03T05:54:49+00:00,2026-06-03T05:54:57+00:00,True,True,True,True,0.75,0.3125,0.15384615384615385,0.0,1.0,5,5,pilot
C1_pilot_ollama_behavioral__atm__mistral-nemo_12b__r02,C1_pilot_ollama_behavioral,atm,mistral-nemo:12b,2,52,passed,none,none,,2026-06-03T05:54:57+00:00,2026-06-03T05:55:04+00:00,True,True,True,True,0.875,0.3125,0.15384615384615385,0.0,1.0,5,6,pilot
C1_pilot_ollama_behavioral__atm__mistral-nemo_12b__r03,C1_pilot_ollama_behavioral,atm,mistral-nemo:12b,3,53,passed,none,none,,2026-06-03T05:55:04+00:00,2026-06-03T05:55:11+00:00,True,True,True,True,0.875,0.3125,0.15384615384615385,0.0,1.0,5,6,pilot
C1_pilot_ollama_behavioral__atm__mistral-nemo_12b__r04,C1_pilot_ollama_behavioral,atm,mistral-nemo:12b,4,54,passed,none,none,,2026-06-03T05:55:11+00:00,2026-06-03T05:55:17+00:00,True,True,True,True,0.875,0.3125,0.15384615384615385,0.0,1.0,5,6,pilot
C1_pilot_ollama_behavioral__atm__mistral-nemo_12b__r05,C1_pilot_ollama_behavioral,atm,mistral-nemo:12b,5,55,passed,none,none,,2026-06-03T05:55:17+00:00,2026-06-03T05:55:24+00:00,True,True,True,True,0.875,0.3125,0.15384615384615385,0.0,1.0,5,6,pilot
C1_pilot_ollama_behavioral__atm__gemma2_9b__r01,C1_pilot_ollama_behavioral,atm,gemma2:9b,1,56,passed,none,none,,2026-06-03T05:55:24+00:00,2026-06-03T05:55:36+00:00,True,True,True,True,0.75,0.3125,0.15384615384615385,0.0,1.0,4,4,pilot
C1_pilot_ollama_behavioral__atm__gemma2_9b__r02,C1_pilot_ollama_behavioral,atm,gemma2:9b,2,57,passed,none,none,,2026-06-03T05:55:36+00:00,2026-06-03T05:55:48+00:00,True,True,True,True,0.75,0.3125,0.15384615384615385,0.0,1.0,4,4,pilot
C1_pilot_ollama_behavioral__atm__gemma2_9b__r03,C1_pilot_ollama_behavioral,atm,gemma2:9b,3,58,passed,none,none,,2026-06-03T05:55:48+00:00,2026-06-03T05:56:00+00:00,True,True,True,True,0.75,0.3125,0.15384615384615385,0.0,1.0,4,4,pilot
C1_pilot_ollama_behavioral__atm__gemma2_9b__r04,C1_pilot_ollama_behavioral,atm,gemma2:9b,4,59,passed,none,none,,2026-06-03T05:56:00+00:00,2026-06-03T05:56:12+00:00,True,True,True,True,0.75,0.3125,0.15384615384615385,0.0,1.0,4,4,pilot
C1_pilot_ollama_behavioral__atm__gemma2_9b__r05,C1_pilot_ollama_behavioral,atm,gemma2:9b,5,60,passed,none,none,,2026-06-03T05:56:12+00:00,2026-06-03T05:56:23+00:00,True,True,True,True,0.75,0.3125,0.15384615384615385,0.0,1.0,4,4,pilot
C2_core_ollama_behavioral__parking_gate__qwen2.5-coder_7b__r01,C2_core_ollama_behavioral,parking_gate,qwen2.5-coder:7b,1,1,passed,none,none,,2026-06-03T08:08:17+00:00,2026-06-03T08:08:24+00:00,True,True,True,True,0.5,0.29411764705882354,0.14285714285714285,0.0,1.0,4,6,core
C2_core_ollama_behavioral__parking_gate__qwen2.5-coder_7b__r02,C2_core_ollama_behavioral,parking_gate,qwen2.5-coder:7b,2,2,passed,none,none,,2026-06-03T08:08:24+00:00,2026-06-03T08:08:29+00:00,True,True,True,True,0.625,0.29411764705882354,0.14285714285714285,0.0,1.0,4,6,core
C2_core_ollama_behavioral__parking_gate__qwen2.5-coder_7b__r03,C2_core_ollama_behavioral,parking_gate,qwen2.5-coder:7b,3,3,passed,none,none,,2026-06-03T08:08:29+00:00,2026-06-03T08:08:35+00:00,True,True,True,True,0.625,0.29411764705882354,0.14285714285714285,0.0,1.0,4,6,core
C2_core_ollama_behavioral__parking_gate__qwen2.5-coder_7b__r04,C2_core_ollama_behavioral,parking_gate,qwen2.5-coder:7b,4,4,passed,none,none,,2026-06-03T08:08:35+00:00,2026-06-03T08:08:40+00:00,True,True,True,True,0.625,0.29411764705882354,0.14285714285714285,0.0,1.0,4,6,core
C2_core_ollama_behavioral__parking_gate__qwen2.5-coder_7b__r05,C2_core_ollama_behavioral,parking_gate,qwen2.5-coder:7b,5,5,passed,none,none,,2026-06-03T08:08:40+00:00,2026-06-03T08:08:45+00:00,True,True,True,True,0.625,0.29411764705882354,0.14285714285714285,0.0,1.0,4,6,core
C2_core_ollama_behavioral__parking_gate__llama3.1_8b__r01,C2_core_ollama_behavioral,parking_gate,llama3.1:8b,1,6,failed,schema_validation,schema_error,"forbidden_behaviours.0: Additional properties are not allowed ('event', 'source', 'target' were unexpected); forbidden_behaviours.1: Additional properties are not allowed ('event', 'source', 'target' were unexpected)",2026-06-03T08:08:45+00:00,2026-06-03T08:08:51+00:00,False,,,,,,,,,,,core
