predictor_set,predictor_label,seed,auc_pooled,auc_within_groups,auc_cross_groups,n_within_pairs,n_cross_pairs,n_total_pairs,share_within_pairs,share_cross_pairs
prevalence_only,prevalence-only baseline,8,0.9500000000000001,0.11,0.9741379310344828,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,9,0.959683426443203,0.2966666666666667,0.978735632183908,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,10,0.954562383612663,0.21333333333333335,0.9758620689655172,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,11,0.9509310986964619,0.13666666666666666,0.9743295019157088,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,12,0.9533519553072626,0.15666666666666668,0.9762452107279693,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,13,0.9544692737430168,0.21,0.9758620689655172,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,14,0.9599627560521415,0.2866666666666667,0.9793103448275862,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,15,0.9588454376163874,0.2733333333333333,0.978544061302682,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,16,0.962756052141527,0.36666666666666664,0.9798850574712644,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,17,0.9559590316573557,0.21666666666666667,0.9772030651340996,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,18,0.9610800744878958,0.34,0.9789272030651341,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,19,0.9574487895716947,0.25,0.9777777777777777,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,20,0.9567970204841714,0.23333333333333334,0.9775862068965517,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,21,0.9577281191806333,0.2733333333333333,0.9773946360153257,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,22,0.9591247672253259,0.2833333333333333,0.978544061302682,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,23,0.9553072625698324,0.2,0.9770114942528736,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,24,0.9540037243947859,0.18666666666666668,0.9760536398467433,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,25,0.9577281191806333,0.25333333333333335,0.9779693486590039,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,26,0.9570763500931099,0.23666666666666666,0.9777777777777777,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,27,0.9646182495344506,0.38,0.9814176245210728,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,28,0.954562383612663,0.20666666666666667,0.9760536398467433,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,29,0.9601489757914339,0.2866666666666667,0.9795019157088123,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,30,0.9588454376163874,0.2866666666666667,0.9781609195402299,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,31,0.9557728119180634,0.22333333333333333,0.9768199233716475,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,32,0.9599627560521415,0.3,0.9789272030651341,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,33,0.959683426443203,0.2833333333333333,0.9791187739463602,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,34,0.9546554934823092,0.20333333333333334,0.9762452107279693,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,35,0.9572625698324023,0.2633333333333333,0.9772030651340996,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,36,0.9604283054003725,0.30333333333333334,0.9793103448275862,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,37,0.9593109869646184,0.25666666666666665,0.9795019157088123,150,5220,5370,0.027932960893854747,0.9720670391061452
